SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-11-15,50.700001,51.779999,50.599998,51.650002,51.650002,712800,188
2018-11-16,50.09,50.98,50.040001,50.810001,50.810001,834900,189
2018-11-19,51.880001,52.07,50.919998,50.990002,50.990002,1579800,190
2018-11-20,49.709999,50.110001,49.32,49.529999,49.529999,1412800,191
2018-11-21,50.540001,50.919998,50.360001,50.52,50.52,783100,192
2018-11-23,49.860001,50.299999,49.66,49.689999,49.689999,362600,193
2018-11-26,50.540001,51.130001,50.43,51.02,51.02,1280400,194
2018-11-27,51.130001,51.619999,50.880001,51.369999,51.369999,957000,195
2018-11-28,51.82,52.919998,51.450001,52.91,52.91,1042000,196
2018-11-29,52.110001,52.25,51.610001,51.880001,51.880001,1100000,197
2018-11-30,52.869999,53.290001,52.580002,52.82,52.82,809500,198
2018-12-03,54.080002,54.34,53.869999,54.169998,54.169998,1082700,199
2018-12-04,53.09,53.209999,51.439999,51.509998,51.509998,1113200,200
2018-12-06,50.66,51.919998,50.630001,51.860001,51.860001,783400,201
2018-12-07,52,52.32,51.009998,51.130001,51.130001,635000,202
2018-12-10,50.650002,51.279999,50.16,51.110001,51.110001,1024000,203
2018-12-11,51.630001,51.799999,50.900002,51.150002,51.150002,1814300,204
2018-12-12,52.560001,53.310001,52.43,52.619999,52.619999,926800,205
2018-12-13,52.59,52.799999,52.029999,52.200001,52.200001,620200,206
2018-12-14,51.610001,51.91,51.150002,51.290001,51.290001,750600,207
2018-12-17,51.189999,51.279999,50.259998,50.5,50.5,711500,208
2018-12-18,50.02,50.209999,49.240002,49.389999,49.389999,1163900,209
2018-12-19,49.389999,49.98,48.34,48.759998,48.759998,1428100,210
2018-12-20,48.599998,49.200001,47.720001,48.27,48.27,1314600,211
2018-12-21,47.380001,47.91,46.689999,46.73,46.73,1240600,212
2018-12-24,46.07,46.57,45.639999,45.880001,45.880001,807600,213
2018-12-26,46.779999,47.669998,45.849998,47.619999,47.619999,1151700,214
2018-12-27,47.599998,48.529999,47.060001,48.529999,48.529999,806000,215
2018-12-28,48.610001,48.709999,47.849998,48.139999,48.139999,607800,216
2018-12-31,48.73,48.810001,47.919998,48.279999,48.279999,858700,217
2019-01-02,47.57,48.98,47.400002,48.720001,48.720001,779800,218
2019-01-03,48.23,48.279999,46.889999,47.02,47.02,1618500,219
2019-01-04,48.119999,49.549999,48.02,49.209999,49.209999,1185000,220
2019-01-07,49.459999,50.310001,49.43,49.720001,49.720001,674000,221
2019-01-08,50.150002,50.259998,49.41,49.889999,49.889999,1033000,222
2019-01-09,49.810001,50.130001,49.32,49.93,49.93,658900,223
2019-01-10,48.68,49.119999,48.5,49.099998,49.099998,1067000,224
2019-01-11,48.880001,49.080002,48.77,48.98,48.98,591000,225
2019-01-14,48.700001,48.740002,48.299999,48.419998,48.419998,735900,226
2019-01-15,49.639999,50.130001,49.599998,49.84,49.84,985800,227
2019-01-16,49.580002,49.919998,49.48,49.610001,49.610001,880800,228
2019-01-17,49.029999,49.759998,48.860001,49.509998,49.509998,708700,229
2019-01-18,50.110001,50.360001,49.790001,50.18,50.18,889400,230
2019-01-22,49.040001,49.150002,48.18,48.470001,48.470001,901800,231
2019-01-23,49.02,49.119999,48.09,48.459999,48.459999,803200,232
2019-01-24,48.139999,48.41,47.98,48.369999,48.369999,886900,233
2019-01-25,48.93,49.009998,48.66,48.759998,48.759998,782200,234
2019-01-28,48.52,48.93,48.200001,48.830002,48.830002,743800,235
2019-01-29,49.040001,49.110001,48.630001,48.779999,48.779999,674200,236
